,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
     Public Health Activity,371,409,456,509,572,621,733,861,969,"1,174","1,356","1,676","1,855","2,123","2,584","2,967","3,213","3,815","4,588","5,375","6,445","7,531","8,621","9,251","9,842","11,212","12,387","13,572","15,267","17,775","19,996","22,127","24,371","26,776","29,591","30,993","32,373","34,827","37,455","40,729","43,047","46,789","52,047","54,236","54,963","57,232","60,855","65,907","71,516","74,048","75,480","73,480","74,821","75,388"
                          Federal  ,102,108,140,208,226,214,294,401,470,564,594,791,893,854,969,"1,043","1,110","1,152","1,154","1,108","1,235","1,216","1,141","1,232","1,298","1,326","1,340","1,529","1,795","2,030","2,262","2,605","2,912","3,164","3,626","3,655","3,755","3,926","4,063","4,544","4,876","5,775","8,013","8,892","8,957","9,125","9,482","9,650","9,832","11,937","14,107","10,694","10,868","10,517"
                          State and Local,269,302,316,301,347,407,439,460,499,610,762,885,962,"1,269","1,615","1,924","2,104","2,663","3,434","4,267","5,210","6,316","7,480","8,019","8,544","9,886","11,047","12,043","13,472","15,745","17,734","19,522","21,459","23,613","25,964","27,338","28,618","30,901","33,392","36,185","38,170","41,013","44,035","45,344","46,006","48,107","51,373","56,257","61,683","62,111","61,373","62,786","63,953","64,871"
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,"3,146","8,065","9,759","11,220","12,962","15,138","17,639","20,153","24,501","29,782","34,883","40,354","46,133","53,254","63,419","75,077","84,361","94,825","104,440","112,766","122,212","133,420","144,045","163,089","183,842","213,827","244,183","272,338","302,084","329,255","350,919","371,226","378,848","398,429","428,324","476,089","519,084","558,100","609,242","656,905","718,962","768,012","821,951","885,775","929,090","964,141","1,002,950","1,048,584"
A77+A78+A89,"23,355","24,796","26,673","29,091","32,054","34,736","38,443","43,518","49,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Health Care,"23,355","24,797","26,673","29,091","32,054","34,736","38,443","43,518","49,219","55,531","63,090","69,473","77,202","86,197","98,835","113,283","129,393","146,760","164,332","187,234","217,203","252,045","283,353","311,981","342,072","376,931","409,526","448,538","499,514","551,629","616,816","677,651","733,647","781,171","823,142","872,857","921,847","974,619","1,029,218","1,089,699","1,165,678","1,265,783","1,371,921","1,482,135","1,592,275","1,700,945","1,809,272","1,921,026","2,017,273","2,117,877","2,196,167","2,281,789","2,379,283","2,468,567"
     Out of pocket,"13,051","13,422","14,299","15,361","16,981","18,262","18,647","18,587","20,628","22,657","25,015","26,380","28,724","31,716","34,467","37,372","40,767","44,996","48,169","52,473","58,396","65,629","72,739","78,924","86,824","95,977","104,034","110,161","120,828","127,313","138,643","141,689","144,233","145,269","143,375","146,228","151,991","163,487","179,081","190,108","201,475","208,766","221,851","238,202","251,669","267,249","277,375","293,714","300,870","300,914","306,230","317,310","328,813","339,422"
     Health Insurance,"6,606","7,251","7,911","8,772","9,744","10,592","13,984","19,328","22,211","25,615","29,582","33,912","38,712","43,733","52,012","61,991","72,940","84,458","96,377","112,076","131,942","155,398","176,188","195,894","215,143","235,622","253,911","281,391","314,212","355,698","403,238","455,481","504,073","546,341","587,403","630,829","670,234","705,692","737,015","782,381","845,459","933,027","1,020,152","1,103,554","1,194,928","1,281,273","1,370,986","1,454,610","1,544,522","1,639,209","1,701,380","1,769,921","1,841,995","1,907,949"
          Private Health Insurance,"4,932","5,495","6,103","6,845","7,839","8,655","8,791","9,003","10,128","11,940","13,997","15,755","17,643","19,710","23,357","27,634","33,005","38,804","44,456","52,594","61,383","72,390","82,755","91,636","100,583","111,999","119,850","135,428","157,382","179,538","205,090","226,081","244,301","258,256","270,946","288,114","304,909","322,897","347,589","373,783","407,279","446,029","488,105","527,188","566,372","606,465","639,009","673,061","706,153","736,055","755,444","788,196","822,943","845,992"
          Medicare, -   , -   , -   , -   , -   , -   ,"1,722","4,731","5,931","6,735","7,276","8,036","8,851","10,182","12,748","15,610","18,815","22,136","25,666","29,900","36,260","43,457","51,060","58,116","64,599","69,795","74,769","80,951","86,404","98,277","107,266","117,273","132,368","146,235","163,430","179,858","193,573","204,204","202,559","206,035","216,333","239,111","256,551","274,031","300,132","326,316","382,338","408,793","442,107","471,172","489,171","511,921","532,205","550,544"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,"1,252","3,019","3,385","3,984","5,039","6,411","7,973","9,013","10,590","12,839","14,429","16,520","18,406","21,134","24,697","28,795","30,418","33,486","36,181","38,761","43,019","47,719","52,173","58,651","69,693","88,921","103,417","116,453","126,856","136,250","144,510","151,352","158,316","171,281","186,943","208,435","230,096","249,447","270,885","287,720","283,383","301,615","317,919","346,383","366,161","374,370","388,998","410,782"
                          Federal  , -   , -   , -   , -   , -   , -   ,605,"1,461","1,753","2,195","2,708","3,643","4,360","4,697","5,994","7,048","8,661","9,317","10,220","11,906","13,692","15,930","16,811","18,527","19,891","21,270","23,777","26,376","29,339","33,168","40,330","54,409","66,021","73,680","77,341","81,742","86,876","89,651","92,721","100,296","109,322","123,488","135,177","149,729","161,220","165,533","161,549","172,141","188,346","230,738","247,546","228,674","223,989","236,656"
                          State and Local, -   , -   , -   , -   , -   , -   ,647,"1,558","1,632","1,788","2,331","2,767","3,612","4,316","4,596","5,790","5,768","7,203","8,186","9,228","11,006","12,865","13,608","14,959","16,289","17,491","19,242","21,344","22,834","25,483","29,364","34,512","37,396","42,774","49,515","54,507","57,635","61,701","65,594","70,985","77,622","84,948","94,919","99,718","109,665","122,187","121,834","129,474","129,573","115,645","118,615","145,695","165,009","174,126"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,349,"1,489","2,530","3,489","4,561","5,305","6,162","6,460","7,194","7,808","8,695","9,536","9,735","10,053","10,641","11,308"
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,241,"1,036","1,762","2,441","3,191","3,720","4,283","4,485","4,948","5,409","6,070","6,715","6,796","7,032","7,405","7,845"
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,108,453,768,"1,048","1,370","1,585","1,879","1,975","2,246","2,399","2,625","2,821","2,939","3,021","3,236","3,463"
         Department of Defense,786,834,858,923,859,830,"1,077","1,319","1,436","1,489","1,569","1,749","1,976","2,210","2,449","2,563","2,666","2,890","3,035","3,423","3,912","4,546","5,105","5,320","5,774","6,796","7,552","8,103","8,667","9,144","10,293","11,406","11,453","11,853","11,639","11,842","11,746","11,819","11,939","12,357","13,372","14,970","18,171","21,223","23,629","24,725","27,385","29,614","31,362","33,751","34,843","36,535","36,618","35,916"
         Department of Veterans Affairs,887,922,950,"1,004","1,046","1,108","1,141","1,256","1,332","1,468","1,701","1,962","2,268","2,619","2,867","3,344","4,025","4,108","4,813","5,026","5,690","6,210","6,850","7,336","8,006","8,271","8,722","9,189","9,585","10,088","10,895","11,800","12,534","13,544","14,532","14,765","15,495","15,420","16,264","17,436","19,002","20,993","22,669","26,359","27,748","29,587","31,677","33,719","38,287","42,313","46,026","48,845","50,590","53,407"
     Other Third Party Payers and Programs,"3,698","4,123","4,463","4,958","5,329","5,882","5,812","5,603","6,380","7,259","8,493","9,181","9,766","10,748","12,356","13,920","15,685","17,305","19,786","22,684","26,864","31,018","34,426","37,163","40,105","45,332","51,580","56,985","64,475","68,618","74,935","80,481","85,340","89,561","92,364","95,801","99,623","105,439","113,122","117,210","118,743","123,989","129,918","140,379","145,677","152,423","160,912","172,702","171,881","177,754","188,556","194,559","208,475","221,195"
         Worksite Health Care,64,68,74,81,90,99,112,132,150,174,200,221,250,285,331,377,452,534,621,723,829,954,"1,043","1,157","1,306","1,392","1,520","1,681","1,859","2,024","2,214","2,325","2,463","2,588","2,707","2,839","2,950","3,084","3,190","3,291","3,483","3,618","3,739","3,887","4,063","4,240","4,350","4,497","4,504","4,525","4,647","4,839","5,097","5,320"
         Other Private Revenues,310,346,384,441,509,595,689,805,"1,017","1,218","1,501","1,684","1,952","2,072","2,387","2,623","3,742","4,146","5,161","6,189","8,614","10,685","12,696","14,081","15,613","18,498","20,830","22,985","26,936","28,262","29,554","31,918","34,341","36,886","38,724","42,837","46,495","51,100","56,144","58,244","57,447","56,404","58,677","64,137","66,252","70,469","77,557","86,456","81,347","86,089","93,842","97,270","109,625","121,114"
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,190,247,297,363,399,435,495,493,544,629,706,699,742,789,777,970,"1,181","1,409","1,450","1,469","1,617","1,590","1,696","1,706","1,783","1,923","2,136","2,129","2,265","2,390","2,420","2,523","2,618","2,754","3,115","3,448","3,507","3,660","3,574"
         Workers' Compensation,435,460,495,525,565,600,681,751,830,922,"1,052","1,131","1,253","1,482","1,765","2,038","2,379","2,687","2,981","3,512","3,925","4,400","5,030","5,570","6,317","7,421","8,528","9,805","11,413","13,432","15,199","16,846","18,261","18,508","17,188","16,728","16,711","17,311","18,490","19,951","20,884","23,044","24,090","25,641","25,949","26,327","26,151","26,909","29,273","28,645","29,214","30,618","30,836","31,626"
         General Assistance,102,110,102,103,112,122,182,240,299,359,417,477,582,691,827,"1,000","1,131","1,281","1,358","1,548","1,899","2,226","2,437","2,649","2,875","3,189","3,422","3,552","3,742","4,138","5,032","5,187","5,531","5,037","5,451","5,437","5,414","5,167","4,928","3,874","3,940","4,819","5,138","5,591","5,904","6,195","6,721","6,928","7,146","7,155","7,071","6,669","6,423","6,687"
         Maternal/Child Health,109,161,169,188,206,229,273,304,353,407,383,424,451,436,492,536,580,615,654,722,804,818,872,"1,009","1,040","1,209","1,305","1,417","1,483","1,505","1,546","1,708","1,856","1,936","2,018","2,054","2,105","2,213","2,270","2,373","2,521","2,518","2,504","2,498","2,465","2,480","2,497","2,624","2,664","2,523","2,464","2,210","2,015","1,878"
                          Federal  ,26,43,47,49,59,79,113,140,164,187,145,187,229,199,239,271,292,306,325,333,338,333,337,395,346,405,392,430,456,473,475,514,562,575,590,583,576,578,584,600,606,615,632,630,631,618,595,597,591,588,587,580,558,541
                          State and Local,83,117,123,139,147,150,160,163,189,220,238,237,222,237,254,265,289,310,329,389,466,486,535,614,694,804,912,987,"1,027","1,032","1,072","1,193","1,294","1,361","1,428","1,471","1,529","1,635","1,686","1,773","1,915","1,902","1,872","1,868","1,835","1,862","1,903","2,027","2,073","1,935","1,877","1,631","1,457","1,336"
         Vocational Rehabilitation,19,21,24,28,31,39,55,84,108,123,146,169,173,178,187,192,193,202,201,204,201,206,209,221,232,236,242,259,270,276,285,298,306,300,325,325,315,326,335,344,373,400,412,418,415,411,445,443,437,460,496,490,470,464
                          Federal  ,12,13,15,17,19,26,40,63,81,94,114,132,135,139,146,150,149,157,154,156,153,154,154,165,176,180,186,200,209,213,220,230,236,225,244,245,236,246,253,259,281,305,316,320,321,317,337,332,334,354,387,384,365,359
                          State and Local,7,8,9,11,12,14,16,21,28,29,32,37,38,38,41,43,44,45,47,48,47,51,55,56,56,56,57,59,61,63,65,68,70,76,80,80,80,81,81,85,92,96,96,97,94,94,108,110,103,107,108,106,105,105
         Other Federal Programs*,327,432,577,693,709,760,606,438,463,597,923,"1,096",957,976,"1,084",695,793,824,913,"1,079","1,309","1,291","1,124",996,"1,016","1,058","1,084","1,154","1,233","1,292","1,511","1,800","2,001","2,206","2,413","2,487","2,756","3,049","3,328","3,781","4,384","5,209","5,579","5,919","6,154","6,259","6,306","6,606","6,826","7,177","7,366","8,839","10,352","10,232"
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,564,529,574,681,655,815,789,628,593,603,511,530,639,868,686,"1,350","1,631","1,657","1,671","1,832","2,016","1,748","1,469","1,988","2,349","2,514","2,744","2,941","3,037","3,064","3,160","3,094","3,105","3,144","3,244","3,321","3,377","3,335","3,202"
         Other State and Local Programs**,"2,211","2,385","2,491","2,755","2,956","3,269","3,028","2,635","2,916","3,195","3,580","3,671","3,827","4,282","4,906","5,303","5,205","5,636","6,293","7,052","7,369","8,446","9,141","9,547","9,628","10,193","12,436","13,712","14,782","15,041","15,981","16,224","16,099","17,426","18,536","17,676","17,648","17,986","18,547","18,890","18,791","20,408","21,821","23,955","25,828","27,097","27,683","28,641","29,693","30,620","32,400","32,408","32,229","32,603"
         School Health,122,140,147,143,151,168,187,215,242,263,290,308,321,346,377,400,433,509,559,600,663,708,753,795,847,919,986,"1,040","1,099","1,185","1,293","1,363","1,416","1,553","1,701","1,785","1,890","2,037","2,197","2,330","2,483","2,689","2,888","3,032","3,193","3,363","3,585","3,875","4,093","4,202","4,287","4,331","4,433","4,496"
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,"2,975","7,750","9,316","10,719","12,315","14,447","16,824","19,194","23,338","28,449","33,244","38,656","44,072","51,034","60,957","72,252","81,478","91,602","100,780","108,556","117,788","128,671","138,577","156,928","176,959","206,194","235,785","262,688","290,286","316,108","338,083","355,556","361,224","378,805","405,806","451,035","491,207","528,784","577,179","620,496","672,915","718,216","768,720","827,091","865,067","896,344","931,844","972,634"
A108+A109+A120,"8,986","9,777","10,432","11,508","12,501","13,544","15,299","17,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hospital Expenditures,"8,985","9,777","10,432","11,507","12,501","13,545","15,298","17,798","20,537","23,367","27,168","30,224","33,846","37,920","44,139","51,234","59,402","67,023","75,621","86,162","100,517","117,480","133,647","144,745","154,366","164,576","175,629","189,545","206,455","225,968","250,439","275,768","298,477","315,749","328,366","339,313","350,799","363,404","374,917","393,624","415,531","449,358","486,479","526,163","566,018","609,363","651,923","692,477","728,949","776,831","814,852","849,922","898,530","936,867"
     Out of pocket,"1,855","1,898","1,953","2,209","2,505","2,687","2,306","1,811","2,160","2,156","2,452","2,458","2,976","3,598","4,005","4,318","4,534","4,864","5,020","5,198","5,392","6,284","7,224","7,639","8,119","8,804","8,508","9,014","9,819","10,344","11,208","11,917","12,358","12,173","10,705","10,147","10,302","11,070","12,014","12,766","13,493","13,839","15,218","16,901","18,157","19,533","20,886","22,383","23,369","25,029","26,574","28,050","30,743","32,650"
     Health Insurance,"4,553","5,069","5,509","6,006","6,548","7,129","9,279","12,444","14,323","16,630","19,410","22,015","24,485","27,379","32,220","38,250","45,178","51,777","58,983","67,973","80,059","93,862","107,332","117,351","126,167","133,858","141,894","152,989","166,162","184,904","206,772","229,632","250,947","267,379","280,318","292,280","302,815","312,430","320,381","337,448","358,016","390,546","424,433","457,040","493,510","532,551","568,023","601,381","639,690","680,649","710,892","740,828","780,373","808,659"
